"","City","State","CityState"
"1890","Everett","MA","Everett, MA"
"1891","Silver City","NM","Silver City, NM"
"1892","Berne","NY","Berne, NY"
"1893","Antigo","WI","Antigo, WI"
"1894","Fayetteville","AR","Fayetteville, AR"
"1895","East Flat Rock","NC","East Flat Rock, NC"
"1896","Lakewood","CO","Lakewood, CO"
"1897","Kingsbury","TX","Kingsbury, TX"
"1898","Westminster","CO","Westminster, CO"
"1899","Milcreek","UT","Milcreek, UT"
"1900","Jackson","MO","Jackson, MO"
"1901","Wasau","WI","Wasau, WI"
"1902","San Tan Valley","AZ","San Tan Valley, AZ"
"1903","Alamo","TN","Alamo, TN"
"1904","Buffalo","MO","Buffalo, MO"
"1905","Weirton","WV","Weirton, WV"
"1906","Lake Stevens","WA","Lake Stevens, WA"
"1907","Presque Isle","ME","Presque Isle, ME"
"1908","Cromwell","OK","Cromwell, OK"
"1909","Fort McCoy","FL","Fort McCoy, FL"
"1910","Taunton","MA","Taunton, MA"
"1911","Kennedale","TX","Kennedale, TX"
"1912","Byng","OK","Byng, OK"
"1913","Osteen","FL","Osteen, FL"
"1914","Stockbridge","GA","Stockbridge, GA"
"1915","Golconda","IL","Golconda, IL"
"1916","Fall River","MA","Fall River, MA"
"1917","Montague","CA","Montague, CA"
"1918","West Sullivan","MO","West Sullivan, MO"
"1919","Fisty","KY","Fisty, KY"
"1920","Oregon City","OR","Oregon City, OR"
"1921","Flagstaff","AZ","Flagstaff, AZ"
"1922","Oxford","MA","Oxford, MA"
"1923","Gresham","OR","Gresham, OR"
"1924","Peculiar","MO","Peculiar, MO"
"1925","Lansing","IL","Lansing, IL"
"1926","Washington Park","IL","Washington Park, IL"
"1927","Solvang","CA","Solvang, CA"
"1928","Sneads","FL","Sneads, FL"
"1929","Socorro","NM","Socorro, NM"
"1930","Eastaboga","AL","Eastaboga, AL"
"1931","Clinton","NC","Clinton, NC"
"1932","Stoneville","NC","Stoneville, NC"
"1933","Greenwood","IN","Greenwood, IN"
"1934","Tualatin","OR","Tualatin, OR"
"1935","Newnan","GA","Newnan, GA"
"1936","Berea","KY","Berea, KY"
"1937","Palmer","AK","Palmer, AK"
"1938","Parker","AZ","Parker, AZ"
"1939","Pine Ridge","SD","Pine Ridge, SD"
"1940","Battle Creek","MI","Battle Creek, MI"
"1941","Wagoner","OK","Wagoner, OK"
"1942","Ishpeming","MI","Ishpeming, MI"
"1943","Somerton","AZ","Somerton, AZ"
"1944","Maywood","CA","Maywood, CA"
"1945","Eagle Mountain","UT","Eagle Mountain, UT"
"1946","Glasgow","KY","Glasgow, KY"
"1947","Tiverton","RI","Tiverton, RI"
"1948","Grand Rapids","MI","Grand Rapids, MI"
"1949","Odessa","MO","Odessa, MO"
"1950","Pembine","WI","Pembine, WI"
"1951","Butte","MT","Butte, MT"
"1952","Montpelier","OH","Montpelier, OH"
"1953","Fort Walton Beach","FL","Fort Walton Beach, FL"
"1954","Hardeeville","SC","Hardeeville, SC"
"1955","Lake Havasu City","AZ","Lake Havasu City, AZ"
"1956","Peterborough","NH","Peterborough, NH"
"1957","Lawndale","NC","Lawndale, NC"
"1958","Wellington","FL","Wellington, FL"
"1959","Walls","MS","Walls, MS"
"1960","Bellville","TX","Bellville, TX"
"1961","Belleville","IL","Belleville, IL"
"1962","Hanover","NM","Hanover, NM"
"1963","Farmington","AR","Farmington, AR"
"1964","Riverview","FL","Riverview, FL"
"1965","Pinellas Park","FL","Pinellas Park, FL"
"1966","Gainesville","GA","Gainesville, GA"
"1967","Clarklake","MI","Clarklake, MI"
"1968","Thomaston","CT","Thomaston, CT"
"1969","Boone","IA","Boone, IA"
"1970","Cochran","GA","Cochran, GA"
"1971","Laguna","NM","Laguna, NM"
"1972","Frederica","DE","Frederica, DE"
"1973","Flat Lick","KY","Flat Lick, KY"
"1974","Monroe","LA","Monroe, LA"
"1975","Guffey","CO","Guffey, CO"
"1976","Landrum","SC","Landrum, SC"
"1977","Jackson","WI","Jackson, WI"
"1978","Cartersville","GA","Cartersville, GA"
"1979","Fullerton","CA","Fullerton, CA"
"1980","Rosser","TX","Rosser, TX"
"1981","Falcon Heights","MN","Falcon Heights, MN"
"1982","Rush Springs","OK","Rush Springs, OK"
"1983","Raymond","MS","Raymond, MS"
"1984","Covina","CA","Covina, CA"
"1985","Bell","CA","Bell, CA"
"1986","Broken Bow","OK","Broken Bow, OK"
"1987","East St Louis","IL","East St Louis, IL"
"1988","Romulus","MI","Romulus, MI"
"1989","St. Joseph","MI","St. Joseph, MI"
"1990","Marion","IN","Marion, IN"
"1991","Peachland","NC","Peachland, NC"
"1992","Green Cove Springs","FL","Green Cove Springs, FL"
"1993","Sheboygan","WI","Sheboygan, WI"
"1994","Port Vincent","LA","Port Vincent, LA"
"1995","Waterbury","CT","Waterbury, CT"
"1996","Keaau","HI","Keaau, HI"
"1997","Buckhannon","WV","Buckhannon, WV"
"1998","Gallup","NM","Gallup, NM"
"1999","Walland","TN","Walland, TN"
"2000","Pittsburg","CA","Pittsburg, CA"
"2001","Pine River","WI","Pine River, WI"
"2002","Malta","MT","Malta, MT"
"2003","Estill Springs","TN","Estill Springs, TN"
"2004","La Quinta","CA","La Quinta, CA"
"2005","Homewood","AL","Homewood, AL"
"2006","Pleasant Hill","NC","Pleasant Hill, NC"
"2007","Phelps","KY","Phelps, KY"
"2008","Manchester Township","NJ","Manchester Township, NJ"
"2009","Lake City","SC","Lake City, SC"
"2010","Alexandria","MN","Alexandria, MN"
"2011","Hammett","ID","Hammett, ID"
"2012","Clearfield","UT","Clearfield, UT"
"2013","Gate City","VA","Gate City, VA"
"2014","Aldie","VA","Aldie, VA"
"2015","Santee","CA","Santee, CA"
"2016","Beaver Dam","WI","Beaver Dam, WI"
"2017","Spring Hill","FL","Spring Hill, FL"
"2018","Wilkesboro","NC","Wilkesboro, NC"
"2019","Little Mountain","SC","Little Mountain, SC"
"2020","Mt. Sterling","OH","Mt. Sterling, OH"
"2021","Punta Gorda","FL","Punta Gorda, FL"
"2022","Harlan","KY","Harlan, KY"
"2023","Kissimmee","FL","Kissimmee, FL"
"2024","Monticello","AR","Monticello, AR"
"2025","Falls Church","VA","Falls Church, VA"
"2026","Counce","TN","Counce, TN"
"2027","Rome","OH","Rome, OH"
"2028","Lenoir","NC","Lenoir, NC"
"2029","Augusta","WV","Augusta, WV"
"2030","Greenbrae","CA","Greenbrae, CA"
"2031","Hays","KS","Hays, KS"
"2032","Poway","CA","Poway, CA"
"2033","McKinleyville","CA","McKinleyville, CA"
"2034","New London","WI","New London, WI"
"2035","Dinwiddie","VA","Dinwiddie, VA"
"2036","Myra","TX","Myra, TX"
"2037","Shelbyville","TN","Shelbyville, TN"
"2038","Eagan","MN","Eagan, MN"
"2039","Harker Heights","TX","Harker Heights, TX"
"2040","Graham","WA","Graham, WA"
"2041","Verona","MO","Verona, MO"
"2042","Huntington Park","CA","Huntington Park, CA"
"2043","Alamogordo","NM","Alamogordo, NM"
"2044","Parker","CO","Parker, CO"
"2045","Round Lake","IL","Round Lake, IL"
"2046","East Wenatchee","WA","East Wenatchee, WA"
"2047","Brookport","IL","Brookport, IL"
"2048","Temple","TX","Temple, TX"
"2049","Ennis","TX","Ennis, TX"
"2050","Spencer","WV","Spencer, WV"
"2051","Gray","TN","Gray, TN"
"2052","Albany","GA","Albany, GA"
"2053","Oldsmar","FL","Oldsmar, FL"
"2054","Delhi","CA","Delhi, CA"
"2055","West Memphis","AR","West Memphis, AR"
"2056","Auburn","WA","Auburn, WA"
"2057","Montcalm","WV","Montcalm, WV"
"2058","Weeki Wachee","FL","Weeki Wachee, FL"
"2059","Hollister","MO","Hollister, MO"
"2060","Winooski","VT","Winooski, VT"
"2061","Beaumont","CA","Beaumont, CA"
"2062","Rutherfordton","NC","Rutherfordton, NC"
"2063","Spring","TX","Spring, TX"
"2064","Hawkins","TX","Hawkins, TX"
"2065","Decaturville","TN","Decaturville, TN"
"2066","Port St Lucie","FL","Port St Lucie, FL"
"2067","Mashantucket","CT","Mashantucket, CT"
"2068","Louisville","NE","Louisville, NE"
"2069","Pikesville","MD","Pikesville, MD"
"2070","Claremont","NH","Claremont, NH"
"2071","Garden City","ID","Garden City, ID"
"2072","Groveton","TX","Groveton, TX"
"2073","Campobello","SC","Campobello, SC"
"2074","Belleville","MI","Belleville, MI"
"2075","Pasadena","CA","Pasadena, CA"
"2076","Hometown","WV","Hometown, WV"
"2077","Markham","IL","Markham, IL"
"2078","Ventnor","NJ","Ventnor, NJ"
"2079","Springdale","AR","Springdale, AR"
"2080","Hessel","MI","Hessel, MI"
"2081","Moncks Corner","SC","Moncks Corner, SC"
"2082","Humboldt","TN","Humboldt, TN"
"2083","Macon","GA","Macon, GA"
"2084","Killen","AL","Killen, AL"
"2085","Wetumka","OK","Wetumka, OK"
"2086","Lumberton","NC","Lumberton, NC"
"2087","Irvine","CA","Irvine, CA"
"2088","Westlake","OH","Westlake, OH"
"2089","Morehead","KY","Morehead, KY"
"2090","Paris","KY","Paris, KY"
"2091","Willoughby","OH","Willoughby, OH"
"2092","Sterrett","AL","Sterrett, AL"
"2093","Edmonton","KY","Edmonton, KY"
"2094","Lanesboro","MN","Lanesboro, MN"
"2095","Lincoln","CA","Lincoln, CA"
"2096","Carrollton","TX","Carrollton, TX"
"2097","Bartlesville","OK","Bartlesville, OK"
"2098","Elberton","GA","Elberton, GA"
"2099","Herman","MN","Herman, MN"
"2100","North Royalton","OH","North Royalton, OH"
"2101","Van Horn","TX","Van Horn, TX"
"2102","Butler","OK","Butler, OK"
"2103","Torrence","CA","Torrence, CA"
"2104","Chatsworth","CA","Chatsworth, CA"
"2105","Brookville","OH","Brookville, OH"
"2106","Chambersburg","PA","Chambersburg, PA"
"2107","Loganville","GA","Loganville, GA"
"2108","Palm Springs","CA","Palm Springs, CA"
"2109","Okemah","OK","Okemah, OK"
"2110","Clendenin","WV","Clendenin, WV"
"2111","Beaver","WA","Beaver, WA"
"2112","Gladewater","TX","Gladewater, TX"
"2113","Beech Island","SC","Beech Island, SC"
"2114","Leesburg","NJ","Leesburg, NJ"
"2115","Hensley","WV","Hensley, WV"
"2116","Morgantown","KY","Morgantown, KY"
"2117","Ashtabula","OH","Ashtabula, OH"
"2118","Plainville","KS","Plainville, KS"
"2119","Lakeside","AZ","Lakeside, AZ"
"2120",NA,"CO","NA, CO"
"2121","Fuquay-Varina","NC","Fuquay-Varina, NC"
"2122","Sahuarita","AZ","Sahuarita, AZ"
"2123","Bloomsburg","PA","Bloomsburg, PA"
"2124","Webster","TX","Webster, TX"
"2125","Ludowici","GA","Ludowici, GA"
"2126","Port St. Lucie","FL","Port St. Lucie, FL"
"2127","Casa Grande","AZ","Casa Grande, AZ"
"2128","Watsonville","CA","Watsonville, CA"
"2129","Lompoc","CA","Lompoc, CA"
"2130","La Mirada","CA","La Mirada, CA"
"2131","Shenandoah","TX","Shenandoah, TX"
"2132","Holland","MI","Holland, MI"
"2133","Naples","ME","Naples, ME"
"2134","Cahokia","IL","Cahokia, IL"
"2135","Avon","IN","Avon, IN"
"2136","Iva","SC","Iva, SC"
"2137","Dover","AR","Dover, AR"
"2138","Simpsonville","KY","Simpsonville, KY"
"2139","Tuscumbia","AL","Tuscumbia, AL"
"2140","Hudson","OH","Hudson, OH"
"2141","American Fork","UT","American Fork, UT"
"2142","Orange City","FL","Orange City, FL"
"2143","Fruitland Park","FL","Fruitland Park, FL"
"2144","Avella","PA","Avella, PA"
"2145","Allen","TX","Allen, TX"
"2146","Leland","NC","Leland, NC"
"2147","Madisonville","TN","Madisonville, TN"
"2148","Sumter","SC","Sumter, SC"
"2149","Fairmont","WV","Fairmont, WV"
"2150","Bullhead City","AZ","Bullhead City, AZ"
"2151","Medicine Lodge","KS","Medicine Lodge, KS"
"2152","York","NE","York, NE"
"2153","Culloden","GA","Culloden, GA"
"2154","Hacienda Heights","CA","Hacienda Heights, CA"
"2155","Badin","NC","Badin, NC"
"2156","Dallas","OR","Dallas, OR"
"2157","Arlington","TN","Arlington, TN"
"2158","Everett","WA","Everett, WA"
"2159","Granite Falls","NC","Granite Falls, NC"
"2160","Pharr","TX","Pharr, TX"
"2161","Brawley","CA","Brawley, CA"
"2162","Ponca City","OK","Ponca City, OK"
"2163","Burns Flat","OK","Burns Flat, OK"
"2164","Knox","IN","Knox, IN"
"2165","Saraland","AL","Saraland, AL"
"2166","Coalinga","CA","Coalinga, CA"
"2167","Capitol Heights","MD","Capitol Heights, MD"
"2168","Trona","CA","Trona, CA"
"2169","Palm Harbor","FL","Palm Harbor, FL"
"2170","Lake Wales","FL","Lake Wales, FL"
"2171","Gadsden","AL","Gadsden, AL"
"2172","Sherwood","OR","Sherwood, OR"
"2173","Desha","AR","Desha, AR"
"2174","Middleburg","FL","Middleburg, FL"
"2175","Grass Valley","CA","Grass Valley, CA"
"2176","Pearland","TX","Pearland, TX"
"2177","North Riverside","IL","North Riverside, IL"
"2178",NA,"TX","NA, TX"
"2179","Kyle","SD","Kyle, SD"
"2180","La Grange","KY","La Grange, KY"
"2181","Spring Hill","TN","Spring Hill, TN"
"2182","Chestertown","MD","Chestertown, MD"
"2183","Loxahatchee","FL","Loxahatchee, FL"
"2184","Juniata","PA","Juniata, PA"
"2185","Villa Park","IL","Villa Park, IL"
"2186","Kennesaw","GA","Kennesaw, GA"
"2187","Gilmer","TX","Gilmer, TX"
"2188","Lancaster","KY","Lancaster, KY"
"2189","English","IN","English, IN"
"2190","Dinuba","CA","Dinuba, CA"
"2191","Sewanee","TN","Sewanee, TN"
"2192","Sharon","PA","Sharon, PA"
"2193","Deerfield","IL","Deerfield, IL"
"2194","Fairland","OK","Fairland, OK"
"2195","Elkridge","MD","Elkridge, MD"
"2196","Princeton","WV","Princeton, WV"
"2197","Reagan","TN","Reagan, TN"
"2198","Austin","MN","Austin, MN"
"2199","Onamia","MN","Onamia, MN"
"2200","Laie","HI","Laie, HI"
"2201","Jamaica","NY","Jamaica, NY"
"2202","Sharpsburg","GA","Sharpsburg, GA"
"2203","Fulton","KY","Fulton, KY"
"2204","Herndon","VA","Herndon, VA"
"2205","Soddy Daisy","TN","Soddy Daisy, TN"
"2206","Twentynine Palms","CA","Twentynine Palms, CA"
"2207","Little Elm","TX","Little Elm, TX"
"2208","Watts","OK","Watts, OK"
"2209","Gary","IN","Gary, IN"
"2210","Belcourt","ND","Belcourt, ND"
"2211","Woodford","VA","Woodford, VA"
"2212","Fritch","TX","Fritch, TX"
"2213","Waldoboro","ME","Waldoboro, ME"
"2214","Larimer","PA","Larimer, PA"
"2215","Brooklet","GA","Brooklet, GA"
"2216","Springfield","IL","Springfield, IL"
"2217","Atascadero","CA","Atascadero, CA"
"2218","Rockford","MI","Rockford, MI"
"2219","Kuna","ID","Kuna, ID"
"2220","South Hill","VA","South Hill, VA"
"2221","Millston","WI","Millston, WI"
"2222","Groveport","OH","Groveport, OH"
"2223","Fort Stockton","TX","Fort Stockton, TX"
"2224","Des Moines","WA","Des Moines, WA"
"2225","Oakdale","CT","Oakdale, CT"
"2226","Kiowa","OK","Kiowa, OK"
"2227","LaGrange","GA","LaGrange, GA"
"2228","Geneva","WI","Geneva, WI"
"2229","Orange Park","FL","Orange Park, FL"
"2230","Olympic Valley","CA","Olympic Valley, CA"
"2231","Panhandle","TX","Panhandle, TX"
"2232","Grafton","WV","Grafton, WV"
"2233","Forest Park","IL","Forest Park, IL"
"2234","Moultrie","GA","Moultrie, GA"
"2235","Englewood","OH","Englewood, OH"
"2236","Commerce City","CO","Commerce City, CO"
"2237","Mount Pleasant","TN","Mount Pleasant, TN"
"2238","Richmond","KY","Richmond, KY"
"2239","Pisgah","AL","Pisgah, AL"
"2240","Brookville","IN","Brookville, IN"
"2241","Anadarko","OK","Anadarko, OK"
"2242","Geneva","OH","Geneva, OH"
"2243","Vassalboro","ME","Vassalboro, ME"
"2244","Bethany","OK","Bethany, OK"
"2245","Aiea","HI","Aiea, HI"
"2246","Terrell","TX","Terrell, TX"
"2247","Goleta","CA","Goleta, CA"
"2248","Topock","AZ","Topock, AZ"
"2249","Cape Girardeau","MO","Cape Girardeau, MO"
"2250","Newman","CA","Newman, CA"
"2251","Douglas City","CA","Douglas City, CA"
"2252","Big Lake","AK","Big Lake, AK"
"2253","Portland","ME","Portland, ME"
"2254","Efland","NC","Efland, NC"
"2255","Bull Shoals","AR","Bull Shoals, AR"
"2256","Lake Alfred","FL","Lake Alfred, FL"
"2257","Fairfax","OK","Fairfax, OK"
"2258","London","KY","London, KY"
"2259","Rocklin","CA","Rocklin, CA"
"2260","Lumpkin","GA","Lumpkin, GA"
"2261","Englewood","FL","Englewood, FL"
"2262","Tooele","UT","Tooele, UT"
"2263","Floral City","FL","Floral City, FL"
"2264","Shelby","NC","Shelby, NC"
"2265","Merrill","WI","Merrill, WI"
"2266","Lufkin","TX","Lufkin, TX"
"2267","Wausau","WI","Wausau, WI"
"2268","Englewood","CO","Englewood, CO"
"2269","Lemoore","CA","Lemoore, CA"
"2270","Strongsville","OH","Strongsville, OH"
"2271","Ladera Heights","CA","Ladera Heights, CA"
"2272","New Castle","PA","New Castle, PA"
"2273","Galveston","TX","Galveston, TX"
"2274","Midlothian","TX","Midlothian, TX"
"2275","Bellingham","WA","Bellingham, WA"
"2276","Euclid","OH","Euclid, OH"
"2277","Gwynn Oak","MD","Gwynn Oak, MD"
"2278","Fife","WA","Fife, WA"
"2279","Panama City Beach","FL","Panama City Beach, FL"
"2280","Saint Paul","MN","Saint Paul, MN"
"2281","Warren","MI","Warren, MI"
"2282","Lakeland","TN","Lakeland, TN"
"2283","Vero Beach","FL","Vero Beach, FL"
"2284","Cape Canaveral","FL","Cape Canaveral, FL"
"2285","Warren","MN","Warren, MN"
"2286","Temple City","CA","Temple City, CA"
"2287","Redwood City","CA","Redwood City, CA"
"2288","Booneville","KY","Booneville, KY"
"2289","Weston","WI","Weston, WI"
"2290","Sheridan","AR","Sheridan, AR"
"2291","Cottonwood","CA","Cottonwood, CA"
"2292","Cisco","TX","Cisco, TX"
"2293","Boyle Heights","CA","Boyle Heights, CA"
"2294","Lewisburg","TN","Lewisburg, TN"
"2295","Mathiston","MS","Mathiston, MS"
"2296","Montgomery Village","MD","Montgomery Village, MD"
"2297","Francesville","IN","Francesville, IN"
"2298","Manistee","MI","Manistee, MI"
"2299","Stockton","IL","Stockton, IL"
"2300","Byars","OK","Byars, OK"
"2301","New Castle","DE","New Castle, DE"
"2302","Lawrenceburg","KY","Lawrenceburg, KY"
"2303","Ector","TX","Ector, TX"
"2304","Cranbury","NJ","Cranbury, NJ"
"2305","Cantonment","FL","Cantonment, FL"
"2306","Pendleton","SC","Pendleton, SC"
"2307","Goshen","IN","Goshen, IN"
"2308","Westerville","OH","Westerville, OH"
"2309","Madison","OH","Madison, OH"
"2310","Largo","FL","Largo, FL"
"2311","Santa Paula","CA","Santa Paula, CA"
"2312","Udall","KS","Udall, KS"
"2313","Suffield","CT","Suffield, CT"
"2314","Mandan","ND","Mandan, ND"
"2315","Orwell","OH","Orwell, OH"
"2316","Brandywine","WV","Brandywine, WV"
"2317","West Linn","OR","West Linn, OR"
"2318","Stewartstown","PA","Stewartstown, PA"
"2319","Lizella","GA","Lizella, GA"
"2320","Lewistown","PA","Lewistown, PA"
"2321","Bear","DE","Bear, DE"
"2322","San Mateo","CA","San Mateo, CA"
"2323","Balch Springs","TX","Balch Springs, TX"
"2324","Pāpa‘Aloa","HI","Pāpa‘Aloa, HI"
"2325","Tom","OK","Tom, OK"
"2326","Peachtree City","GA","Peachtree City, GA"
"2327","Tarpon Springs","FL","Tarpon Springs, FL"
"2328","Sunland","CA","Sunland, CA"
"2329","Rancho Cordova","CA","Rancho Cordova, CA"
"2330","Tiffin","OH","Tiffin, OH"
"2331","Lakeside","CA","Lakeside, CA"
"2332","Robertsdale","AL","Robertsdale, AL"
"2333","Jupiter","FL","Jupiter, FL"
"2334","Rohnert Park","CA","Rohnert Park, CA"
"2335","West Allis","WI","West Allis, WI"
"2336","Geneva","IL","Geneva, IL"
"2337","Greenfield","IN","Greenfield, IN"
"2338","Del Mar","CA","Del Mar, CA"
"2339","Wewoka","OK","Wewoka, OK"
"2340","Clinton","MT","Clinton, MT"
"2341","Belgrade","ME","Belgrade, ME"
"2342","Bangor","PA","Bangor, PA"
"2343","Lemon Grove","CA","Lemon Grove, CA"
"2344","Appleton","WI","Appleton, WI"
"2345","Converse","LA","Converse, LA"
"2346","Okeechobee","FL","Okeechobee, FL"
"2347","Mountain Home","ID","Mountain Home, ID"
"2348","Pahrump","NV","Pahrump, NV"
"2349","Canton","OH","Canton, OH"
"2350","West Milwaukee","WI","West Milwaukee, WI"
"2351","San Rafael","NM","San Rafael, NM"
"2352","Arcadia","CA","Arcadia, CA"
"2353","Oneida","TN","Oneida, TN"
"2354","Austell","GA","Austell, GA"
"2355","Belfast","ME","Belfast, ME"
"2356","Cary","NC","Cary, NC"
"2357","Raytown","MO","Raytown, MO"
"2358","Arundel","ME","Arundel, ME"
"2359","Gerrardstown","WV","Gerrardstown, WV"
"2360","Centennial","CO","Centennial, CO"
"2361","Abbeville","AL","Abbeville, AL"
"2362","Petal","MS","Petal, MS"
"2363","Callahan","FL","Callahan, FL"
"2364","Campo","CA","Campo, CA"
"2365","Bardstown","KY","Bardstown, KY"
"2366","Shiner","TX","Shiner, TX"
"2367","Orrington","ME","Orrington, ME"
"2368","Dundalk","MD","Dundalk, MD"
"2369","Sawmills","NC","Sawmills, NC"
"2370","Roland","OK","Roland, OK"
"2371","San Benito","TX","San Benito, TX"
"2372","Lyons","IL","Lyons, IL"
"2373","North English","IA","North English, IA"
"2374","Plano","TX","Plano, TX"
"2375","Barbourville","KY","Barbourville, KY"
"2376","Broussard","LA","Broussard, LA"
"2377","Selma","CA","Selma, CA"
"2378","Jerseyville","IL","Jerseyville, IL"
"2379","Hampton","NH","Hampton, NH"
"2380","Somerville","TN","Somerville, TN"
"2381","Newton","NH","Newton, NH"
"2382","Water Valley","MS","Water Valley, MS"
"2383","Madera","CA","Madera, CA"
"2384","Waukesha","WI","Waukesha, WI"
"2385","Franklin","TN","Franklin, TN"
"2386","Lehigh","KS","Lehigh, KS"
"2387","Nevada","MO","Nevada, MO"
"2388","Millerton","OK","Millerton, OK"
"2389","Florence","OR","Florence, OR"
"2390","Deer Park","AL","Deer Park, AL"
"2391","Rowe","NM","Rowe, NM"
"2392","Cave Creek","AZ","Cave Creek, AZ"
"2393","Fishers","IN","Fishers, IN"
"2394","Bonaire","GA","Bonaire, GA"
"2395","Brunswick","GA","Brunswick, GA"
"2396","Vandalia","OH","Vandalia, OH"
"2397","Farmington","UT","Farmington, UT"
"2398","West Richland","WA","West Richland, WA"
"2399","Pleasant View","CO","Pleasant View, CO"
"2400","Maeystown","IL","Maeystown, IL"
"2401","Sallisaw","OK","Sallisaw, OK"
"2402","Madison","ME","Madison, ME"
"2403","Mamou","LA","Mamou, LA"
"2404","Franklinton","OH","Franklinton, OH"
"2405","Deepstep","GA","Deepstep, GA"
"2406","Benson","NC","Benson, NC"
"2407","Crescent City","FL","Crescent City, FL"
"2408","Uniontown","OH","Uniontown, OH"
"2409","Bainbridge Island","WA","Bainbridge Island, WA"
"2410","Harris","MN","Harris, MN"
"2411","Johnson Creek","WI","Johnson Creek, WI"
"2412","Golden Valley","AZ","Golden Valley, AZ"
"2413","Lake View","SC","Lake View, SC"
"2414","Grover Beach","CA","Grover Beach, CA"
"2415","Globe","AZ","Globe, AZ"
"2416","Seal Beach","CA","Seal Beach, CA"
"2417","Boston","VA","Boston, VA"
"2418","Clay","AL","Clay, AL"
"2419","Springfield","OR","Springfield, OR"
"2420","Saginaw","MI","Saginaw, MI"
"2421","Neosho","MO","Neosho, MO"
"2422","Tallapoosa","GA","Tallapoosa, GA"
"2423","Chino Valley","AZ","Chino Valley, AZ"
"2424","Spencer","MA","Spencer, MA"
"2425","Marion","AR","Marion, AR"
"2426","Grand Terrace","CA","Grand Terrace, CA"
"2427","Homer","LA","Homer, LA"
"2428","Avenal","CA","Avenal, CA"
"2429","Chowchilla","CA","Chowchilla, CA"
"2430","Melba","ID","Melba, ID"
"2431","Oshkosh","WI","Oshkosh, WI"
"2432","Mount Airy","NC","Mount Airy, NC"
"2433","Oregon House","CA","Oregon House, CA"
"2434","Coushatta","LA","Coushatta, LA"
"2435","Worthington","WV","Worthington, WV"
"2436","Lima","OH","Lima, OH"
"2437","Spanish Springs","NV","Spanish Springs, NV"
"2438","Marine City","MI","Marine City, MI"
"2439","Clarendon","PA","Clarendon, PA"
"2440","Kress","TX","Kress, TX"
"2441","New Straitsville","OH","New Straitsville, OH"
"2442","Bon Aqua","TN","Bon Aqua, TN"
"2443","North Bergen","NJ","North Bergen, NJ"
"2444","Junction City","KS","Junction City, KS"
"2445","Dyer","IN","Dyer, IN"
"2446","Pacific Palisades","CA","Pacific Palisades, CA"
"2447","Puyallup","WA","Puyallup, WA"
"2448","Mount Airy","GA","Mount Airy, GA"
"2449","La Crosse","WI","La Crosse, WI"
"2450","Miami Lakes","FL","Miami Lakes, FL"
"2451","Cosby","TN","Cosby, TN"
"2452","Thomasville","GA","Thomasville, GA"
"2453","Livermore","CA","Livermore, CA"
"2454","Luverne","AL","Luverne, AL"
"2455","Bloomfield","NJ","Bloomfield, NJ"
"2456","Fairchance","PA","Fairchance, PA"
"2457","Yellville","AR","Yellville, AR"
"2458","Marietta","OK","Marietta, OK"
"2459","Morganton","NC","Morganton, NC"
"2460","Franklin","WI","Franklin, WI"
"2461","Steubenville","OH","Steubenville, OH"
"2462","Pardeeville","WI","Pardeeville, WI"
"2463","Saint Louis","MO","Saint Louis, MO"
"2464","Tarzana","CA","Tarzana, CA"
"2465","Durham","CA","Durham, CA"
"2466","Waterford Township","MI","Waterford Township, MI"
"2467","Orange","NJ","Orange, NJ"
"2468","Woodville","GA","Woodville, GA"
"2469","Guymon","OK","Guymon, OK"
"2470","Kettering","OH","Kettering, OH"
"2471","Sharpsburg","KY","Sharpsburg, KY"
"2472","New Milford","CT","New Milford, CT"
"2473","Moundridge","KS","Moundridge, KS"
"2474","Simsboro","LA","Simsboro, LA"
"2475","Hazel Crest","IL","Hazel Crest, IL"
"2476","Milpitas","CA","Milpitas, CA"
"2477","Fort Myers Beach","FL","Fort Myers Beach, FL"
"2478","Poultney","VT","Poultney, VT"
"2479","Mount Hope","WI","Mount Hope, WI"
"2480","Pittsfield","MA","Pittsfield, MA"
"2481","Longview","WA","Longview, WA"
"2482","Monett","MO","Monett, MO"
"2483","Arcata","CA","Arcata, CA"
"2484","Youngtown","AZ","Youngtown, AZ"
"2485","Huntersville","NC","Huntersville, NC"
"2486","West Valinda","CA","West Valinda, CA"
"2487","Quartzsite","AZ","Quartzsite, AZ"
"2488","Frametown","WV","Frametown, WV"
"2489","Haymarket","VA","Haymarket, VA"
"2490","Oak Harbor","WA","Oak Harbor, WA"
"2491","West Milford","WV","West Milford, WV"
"2492","Independence","VA","Independence, VA"
"2493","Bernice","LA","Bernice, LA"
"2494","La Porte","TX","La Porte, TX"
"2495","Peoria","IL","Peoria, IL"
"2496","Lane","OK","Lane, OK"
"2497","Littleton","CO","Littleton, CO"
"2498","Rockwall","TX","Rockwall, TX"
"2499","Inwood","NY","Inwood, NY"
"2500","New Castle","IN","New Castle, IN"
"2501","Palmetto","FL","Palmetto, FL"
"2502","Fairview","TN","Fairview, TN"
"2503","Coolin","ID","Coolin, ID"
"2504","Berkeley","CA","Berkeley, CA"
"2505","Griffin","GA","Griffin, GA"
"2506","Garden City","IN","Garden City, IN"
"2507","Washington","PA","Washington, PA"
"2508","Seward","AK","Seward, AK"
"2509","Parkton","NC","Parkton, NC"
"2510","Jefferson City","MO","Jefferson City, MO"
